               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.083341,            0.028398,                   0,            0.030236,                   1,               0.566,             0.06615,            0.060236,            0.015485,                   0,            0.065514,           0.0035141,           0.0035141
                  39,            0.091785,            0.021354,                   0,            0.030236,                   1,               0.566,             0.06615,            0.060236,            0.015485,                   0,            0.064599,           0.0035988,           0.0035988
                  40,            0.081285,            0.023811,                   0,            0.017191,                   1,              0.2531,            0.050761,            0.060197,            0.015292,                   0,            0.063683,           0.0036832,           0.0036832
                  41,             0.09447,            0.019928,                   0,            0.017191,                   1,              0.2531,            0.050761,            0.060197,            0.015292,                   0,            0.062767,           0.0037672,           0.0037672
                  42,            0.081009,            0.029455,                   0,            0.012036,                   1,             0.30417,            0.049413,            0.059055,            0.015465,                   0,            0.061851,           0.0038507,           0.0038507
                  43,            0.083323,            0.023304,                   0,            0.012036,                   1,             0.30417,            0.049413,            0.059055,            0.015465,                   0,            0.060934,           0.0039339,           0.0039339
                  44,            0.083184,            0.027854,                   0,             0.27024,             0.66667,             0.48625,            0.085227,            0.060844,            0.014952,                   0,            0.060017,           0.0040167,           0.0040167
                  45,             0.08385,            0.022292,                   0,             0.27024,             0.66667,             0.48625,            0.085227,            0.060844,            0.014952,                   0,            0.059099,           0.0040991,           0.0040991
                  46,            0.082682,            0.024217,                   0,             0.19374,                   1,              0.9125,             0.25187,            0.055159,            0.016047,                   0,            0.058181,            0.004181,            0.004181
                  47,            0.079346,            0.031151,                   0,             0.19374,                   1,              0.9125,             0.25187,            0.055159,            0.016047,                   0,            0.057263,           0.0042626,           0.0042626
                  48,            0.087855,            0.026085,                   0,              0.6698,             0.67919,              0.9125,             0.21257,            0.054137,            0.015982,                   0,            0.056344,           0.0043438,           0.0043438
                  49,            0.079578,            0.027948,                   0,              0.6698,             0.67919,              0.9125,             0.21257,            0.054137,            0.015982,                   0,            0.055425,           0.0044246,           0.0044246
                  50,            0.078916,            0.025909,                   0,             0.62543,              0.5842,                0.61,             0.10071,            0.055567,            0.015585,                   0,            0.054505,            0.004505,            0.004505
                  51,            0.081737,            0.027341,                   0,             0.62543,              0.5842,                0.61,             0.10071,            0.055567,            0.015585,                   0,            0.053585,            0.004585,            0.004585
                  52,            0.054821,              0.0162,                   0,             0.62543,              0.5842,                0.61,             0.10071,            0.055567,            0.015585,                   0,            0.052665,           0.0046646,           0.0046646
                  53,            0.082163,            0.024809,                   0,              0.5574,             0.44814,              0.6045,            0.084427,            0.054863,             0.01571,                   0,            0.051744,           0.0047438,           0.0047438
                  54,             0.08597,            0.021527,                   0,              0.5574,             0.44814,              0.6045,            0.084427,            0.054863,             0.01571,                   0,            0.050823,           0.0048226,           0.0048226
                  55,            0.075417,            0.020124,                   0,              0.5574,             0.44814,              0.6045,            0.084427,            0.054863,             0.01571,                   0,            0.049901,           0.0049011,           0.0049011
                  56,            0.075482,             0.03075,                   0,            0.042204,             0.33333,             0.13325,            0.023658,            0.056681,            0.015284,                   0,            0.048979,           0.0049791,           0.0049791
                  57,            0.061799,            0.022073,                   0,            0.042204,             0.33333,             0.13325,            0.023658,            0.056681,            0.015284,                   0,            0.048057,           0.0050567,           0.0050567
                  58,            0.067466,            0.020575,                   0,            0.042204,             0.33333,             0.13325,            0.023658,            0.056681,            0.015284,                   0,            0.047134,           0.0051339,           0.0051339
                  59,            0.080002,            0.028073,                   0,            0.019739,                   1,            0.074625,            0.021452,            0.057283,            0.015202,                   0,            0.046211,           0.0052108,           0.0052108
                  60,            0.066232,            0.024823,                   0,            0.019739,                   1,            0.074625,            0.021452,            0.057283,            0.015202,                   0,            0.045287,           0.0052872,           0.0052872
                  61,            0.077928,            0.024695,                   0,            0.019739,                   1,            0.074625,            0.021452,            0.057283,            0.015202,                   0,            0.044363,           0.0053632,           0.0053632
                  62,            0.074086,            0.025196,                   0,            0.090574,             0.46995,             0.14583,            0.021344,            0.055953,            0.015344,                   0,            0.043439,           0.0054389,           0.0054389
                  63,            0.064596,            0.026075,                   0,            0.090574,             0.46995,             0.14583,            0.021344,            0.055953,            0.015344,                   0,            0.042514,           0.0055141,           0.0055141
                  64,             0.07842,            0.027548,                   0,            0.090574,             0.46995,             0.14583,            0.021344,            0.055953,            0.015344,                   0,            0.041589,            0.005589,            0.005589
                  65,            0.078088,             0.02024,                   0,             0.37885,             0.66667,             0.50925,            0.099952,            0.049757,            0.016143,                   0,            0.040663,           0.0056635,           0.0056635
                  66,            0.077395,            0.025022,                   0,             0.37885,             0.66667,             0.50925,            0.099952,            0.049757,            0.016143,                   0,            0.039738,           0.0057375,           0.0057375
                  67,            0.072605,            0.022249,                   0,             0.37885,             0.66667,             0.50925,            0.099952,            0.049757,            0.016143,                   0,            0.038811,           0.0058112,           0.0058112
                  68,            0.072745,            0.025533,                   0,             0.10406,             0.66667,             0.23714,             0.05748,            0.045922,            0.016512,                   0,            0.037884,           0.0058844,           0.0058844
                  69,            0.081802,             0.02145,                   0,             0.10406,             0.66667,             0.23714,             0.05748,            0.045922,            0.016512,                   0,            0.036957,           0.0059573,           0.0059573
                  70,            0.071237,            0.024617,                   0,             0.10406,             0.66667,             0.23714,             0.05748,            0.045922,            0.016512,                   0,             0.03603,           0.0060298,           0.0060298
                  71,             0.07144,            0.023904,                   0,              0.2069,                   1,             0.31167,             0.11473,            0.046155,            0.016334,                   0,            0.035102,           0.0061019,           0.0061019
                  72,            0.071759,            0.029958,                   0,              0.2069,                   1,             0.31167,             0.11473,            0.046155,            0.016334,                   0,            0.034174,           0.0061736,           0.0061736
                  73,             0.06925,            0.027274,                   0,              0.2069,                   1,             0.31167,             0.11473,            0.046155,            0.016334,                   0,            0.033245,           0.0062449,           0.0062449
                  74,            0.074886,            0.022636,                   0,             0.24206,                   1,              0.3875,             0.14849,            0.046374,            0.016157,                   0,            0.032316,           0.0063158,           0.0063158
                  75,            0.069464,            0.025773,                   0,             0.24206,                   1,              0.3875,             0.14849,            0.046374,            0.016157,                   0,            0.031386,           0.0063862,           0.0063862
                  76,            0.066281,            0.028933,                   0,             0.24206,                   1,              0.3875,             0.14849,            0.046374,            0.016157,                   0,            0.030456,           0.0064564,           0.0064564
                  77,            0.067701,            0.024875,                   0,             0.21091,             0.66667,             0.27667,             0.10863,            0.043776,            0.016443,                   0,            0.029526,           0.0065261,           0.0065261
                  78,            0.069377,            0.021917,                   0,             0.21091,             0.66667,             0.27667,             0.10863,            0.043776,            0.016443,                   0,            0.028595,           0.0065954,           0.0065954
                  79,            0.076993,            0.016771,                   0,             0.21091,             0.66667,             0.27667,             0.10863,            0.043776,            0.016443,                   0,            0.027664,           0.0066643,           0.0066643
