               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12072,            0.014704,            0.031243,           0.0028671,             0.32967,           0.0048715,           0.0013204,             0.12567,             0.01113,            0.029208,              0.0991,              0.0001,              0.0001
                   1,             0.12218,            0.015119,            0.028609,           0.0029078,             0.36813,           0.0057371,           0.0017648,             0.12411,            0.011389,            0.029403,            0.097299,          0.00029941,          0.00029941
                   2,               0.118,            0.014716,            0.030692,           0.0028611,             0.32967,           0.0056199,           0.0013181,             0.12115,            0.011895,            0.029561,            0.095498,          0.00049802,          0.00049802
                   3,             0.11603,            0.015369,            0.028502,           0.0037118,             0.51648,           0.0066059,            0.001462,             0.11762,            0.012499,            0.029622,            0.093696,          0.00069584,          0.00069584
                   4,             0.11155,            0.016274,            0.029716,           0.0039482,             0.26374,           0.0041214,          0.00095929,             0.11278,            0.013352,             0.02973,            0.091893,          0.00089287,          0.00089287
                   5,              0.1042,            0.018189,            0.028296,           0.0033507,             0.47802,           0.0071041,           0.0016146,             0.10912,            0.014069,            0.029689,            0.090089,           0.0010891,           0.0010891
                   6,              0.1052,            0.020805,            0.028877,           0.0033559,             0.47802,            0.006783,           0.0016186,             0.10645,            0.014543,            0.029394,            0.088285,           0.0012846,           0.0012846
                   7,            0.096105,            0.018131,            0.027907,            0.004221,             0.51648,           0.0071582,           0.0018708,             0.10286,            0.015182,            0.029604,            0.086479,           0.0014792,           0.0014792
                   8,            0.096183,            0.022772,            0.027359,            0.004463,             0.65934,           0.0080412,           0.0023654,             0.10084,            0.015518,            0.029948,            0.084673,           0.0016731,           0.0016731
                   9,            0.090674,            0.023399,            0.029214,           0.0037237,             0.54945,           0.0081331,           0.0024362,            0.099955,            0.015591,            0.029758,            0.082866,           0.0018661,           0.0018661
                  10,            0.088712,            0.023765,            0.028298,           0.0038159,             0.43956,           0.0086848,           0.0022222,            0.098594,            0.015809,            0.030003,            0.081058,           0.0020584,           0.0020584
                  11,            0.092156,            0.020428,            0.027154,           0.0041205,             0.58791,           0.0085931,           0.0026416,            0.097581,            0.015913,            0.029581,             0.07925,           0.0022499,           0.0022499
                  12,            0.088206,            0.024661,            0.026979,           0.0037225,             0.54945,           0.0097834,           0.0029889,            0.097053,            0.015813,            0.029022,            0.077441,           0.0024406,           0.0024406
                  13,            0.081418,            0.025813,            0.025913,           0.0043109,             0.47802,           0.0072632,            0.002668,            0.096093,            0.015853,            0.028467,            0.075631,           0.0026305,           0.0026305
                  14,            0.080761,            0.025064,            0.026035,           0.0036661,             0.62088,            0.016274,           0.0048332,            0.095265,            0.015901,            0.027573,             0.07382,           0.0028196,           0.0028196
                  15,             0.07938,            0.023559,            0.027113,           0.0042725,             0.51099,            0.015775,           0.0040376,            0.094818,            0.015899,            0.027297,            0.072008,           0.0030079,           0.0030079
                  16,            0.083182,            0.026151,            0.027436,           0.0039727,             0.69231,             0.02491,           0.0083571,            0.094921,            0.015794,            0.026605,            0.070195,           0.0031955,           0.0031955
                  17,            0.078477,            0.025992,            0.026493,            0.016853,             0.10989,            0.036908,           0.0082582,            0.095093,            0.015641,            0.026405,            0.068382,           0.0033822,           0.0033822
                  18,            0.079274,            0.024904,            0.026145,           0.0036124,             0.65385,            0.030912,           0.0081646,            0.094879,            0.015553,              0.0267,            0.066568,           0.0035681,           0.0035681
                  19,            0.072815,            0.025809,            0.024875,           0.0091918,             0.65385,            0.083957,            0.016572,            0.094124,            0.015589,            0.026748,            0.064753,           0.0037533,           0.0037533
                  20,            0.072996,            0.027709,            0.023673,            0.018367,             0.57692,             0.10931,            0.020148,            0.093855,              0.0155,            0.026435,            0.062938,           0.0039376,           0.0039376
                  21,            0.070216,            0.028674,             0.02443,            0.050205,             0.46703,             0.16534,            0.044203,            0.092874,            0.015547,            0.026564,            0.061121,           0.0041212,           0.0041212
                  22,            0.077042,            0.024754,            0.023688,            0.047163,             0.61538,            0.082709,            0.028772,             0.09254,            0.015471,            0.026469,            0.059304,            0.004304,            0.004304
