               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12322,            0.017465,                   0,           0.0016667,             0.33333,           0.0034407,          0.00068814,            0.086428,            0.010801,                   0,                 0.1,                   0,                   0
                   1,             0.12303,             0.01341,                   0,           0.0016667,             0.33333,           0.0020824,          0.00020824,            0.082365,            0.011758,                   0,            0.099067,             6.7e-05,             6.7e-05
                   2,              0.1239,            0.015385,                   0,           0.0016667,             0.33333,           0.0037739,          0.00037739,             0.08201,              0.0118,                   0,            0.098068,             6.8e-05,             6.8e-05
