               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12973,            0.029891,            0.032306,           0.0030488,            0.038462,           0.0020178,          0.00020178,             0.13307,            0.026077,            0.030998,              0.0991,              0.0001,              0.0001
                   1,             0.10514,             0.03006,            0.023691,           0.0030303,            0.038462,           0.0020862,          0.00020862,             0.13196,             0.02582,            0.031265,            0.097299,          0.00029941,          0.00029941
                   2,              0.1286,            0.029156,            0.028931,            0.003012,            0.038462,           0.0025323,          0.00025323,              0.1301,            0.025641,            0.031425,            0.095498,          0.00049802,          0.00049802
